Episode,Reward,Timer,Input_PosX,Input_PosY,Input_Angle,Input_DistNorm,Output_Accelerate,Output_TurnLeft,Output_TurnRight,Output_Dash,Output_Skill,Target_Accelerate,Target_TurnLeft,Target_TurnRight,Target_Dash,Target_Skill,Loss
1,3.89,9.70,0.7352,0.2890,58.9614,0.2403,3.7017,-3.3771,11.8479,19.6471,5.4144,3.7017,-3.3771,11.8479,3.8896,5.4144,49.659540
1,3.95,9.80,0.7352,0.2890,38.9614,0.2403,3.7017,-3.0156,12.2700,19.7075,5.6735,3.7017,-3.0156,12.2700,3.9462,5.6735,49.683750
1,3.95,9.90,0.7352,0.2890,21.9879,0.2403,3.5559,-2.7148,12.8688,19.7615,5.6735,3.5559,-2.7148,12.8688,3.9486,5.6735,50.009970
2,3.95,0.00,0.7352,0.2890,21.9879,0.2403,3.5559,-3.0181,13.1095,19.2734,6.1682,3.5559,-3.0181,13.1095,3.9486,6.1682,46.970140
2,3.95,0.10,0.7352,0.2890,20.7268,0.2403,3.8340,-3.1633,13.1095,18.1499,6.3805,3.8340,-3.1633,13.1095,3.9525,6.3805,40.313150
2,3.95,0.20,0.7352,0.2890,20.0949,0.2403,4.4248,-3.2836,13.2752,17.2269,6.7942,4.4248,-3.2836,13.2752,3.9542,6.7942,35.232760
2,4.06,0.30,0.7352,0.2890,19.5964,0.2403,4.4923,-3.4446,13.6232,16.6994,6.9829,4.0607,-3.4446,13.6232,16.6994,6.9829,0.037256
2,4.10,0.40,0.8164,0.3123,23.2178,0.2010,4.7164,-3.3007,13.7480,16.7625,6.9829,4.7164,-3.3007,13.7480,4.1030,6.9829,32.052340
2,4.13,0.50,0.8884,0.3330,28.0752,0.1673,4.5350,-3.5273,13.8973,15.9442,7.1488,4.5350,-3.5273,13.8973,4.1275,7.1488,27.926650
2,4.14,0.60,0.9500,0.3507,34.1626,0.1401,4.7202,-4.2044,14.1266,16.2944,7.3188,4.7202,-4.2044,14.1266,4.1356,7.3188,29.567260
2,4.14,0.70,0.9864,0.3612,39.0355,0.1250,4.5292,-4.4085,14.3162,16.5854,7.3188,4.5292,-4.4085,14.3162,4.1374,7.3188,30.990860
2,4.14,0.80,1.0132,0.3689,43.4266,0.1147,4.7343,-4.8152,14.3973,14.9826,7.3188,4.7343,-4.8152,14.3973,4.1358,7.3188,23.530690
