Episode,Step,PosX,PosY,Angle,DistN,AccProb,TurnLeftProb,TurnRightProb,DashProb,SkillProb,Action,Reward,Entropy,OriginalEntropy,PolicyLoss,ValueLoss,TotalLoss,Advantage,ClippedRatio,Return
0,32,0.00,0.42,0.00,0.70,0.1971,0.1922,0.1896,0.1932,0.1980,3,3.1061,1.5906,1.5906,-3.1061,9.6476,-0.2436,3.1061,1.0204,3.1076
0,33,0.00,0.42,0.00,0.66,0.1971,0.1922,0.1896,0.1932,0.1980,1,3.1810,1.5906,1.5906,-3.1810,10.1188,-0.1772,3.1810,0.9800,3.1825
0,34,0.00,0.42,0.00,0.63,0.1970,0.1922,0.1896,0.1931,0.1980,2,3.2451,1.5906,1.5906,-3.2451,10.5306,-0.1177,3.2451,0.9953,3.2465
0,35,0.00,0.42,0.00,0.61,0.1970,0.1922,0.1896,0.1931,0.1980,0,3.2830,1.5906,1.5906,-3.2830,10.7783,-0.0814,3.2830,0.9860,3.2844
0,36,0.00,0.42,0.00,0.57,0.1970,0.1922,0.1896,0.1931,0.1980,3,3.3675,1.5906,1.5906,-3.3675,11.3401,0.0027,3.3675,1.0393,3.3688
0,37,0.00,0.42,0.00,0.53,0.1970,0.1923,0.1896,0.1931,0.1981,0,2.9425,1.5906,1.5906,-2.9424,8.6580,-0.3769,2.9424,0.9803,2.9437
0,38,0.00,0.42,0.00,0.49,0.1970,0.1923,0.1896,0.1931,0.1981,2,3.0269,1.5906,1.5906,-3.0269,9.1623,-0.3101,3.0269,1.0198,3.0281
0,39,0.00,0.42,0.00,0.45,0.1969,0.1923,0.1895,0.1931,0.1981,2,3.1019,1.5906,1.5906,-3.1019,9.6215,-0.2472,3.1019,0.9624,3.1030
0,40,0.00,0.42,0.00,0.42,0.1969,0.1923,0.1895,0.1931,0.1981,0,3.1569,1.5906,1.5906,-3.1569,9.9657,-0.1989,3.1569,1.0000,3.1580
0,41,0.02,0.42,0.00,0.38,0.1969,0.1923,0.1895,0.1931,0.1982,1,3.2413,1.5906,1.5906,-3.2413,10.5062,-0.1213,3.2413,1.0387,3.2425
0,42,0.10,0.42,0.00,0.34,0.1969,0.1922,0.1895,0.1932,0.1983,0,3.3163,1.5906,1.5906,-3.3163,10.9976,-0.0488,3.3163,0.9762,3.3177
0,43,0.26,0.42,0.00,0.26,0.1968,0.1921,0.1894,0.1933,0.1984,4,3.4757,1.5906,1.5906,-3.4757,12.0803,0.1166,3.4757,1.0241,3.4776
0,44,0.32,0.42,0.00,0.23,0.1968,0.1920,0.1893,0.1934,0.1985,4,3.5398,1.5906,1.5906,-3.5398,12.5299,0.1874,3.5398,1.0083,3.5419
0,45,0.38,0.42,0.00,0.20,0.1968,0.1920,0.1893,0.1934,0.1985,3,3.6007,1.5906,1.5906,-3.6006,12.9646,0.2569,3.6006,1.0003,3.6030
0,46,0.56,0.42,0.00,0.11,0.1968,0.1919,0.1891,0.1935,0.1987,0,4.2781,1.5906,1.5906,-4.2780,18.3016,1.1806,4.2780,0.9748,4.2810
0,47,0.57,0.42,-49.19,0.16,0.1942,0.1789,0.1681,0.2215,0.2074,2,3.1000,1.5860,1.5860,-3.1003,9.6121,-0.2484,3.1003,1.0034,3.0645
0,48,0.56,0.42,-100.93,0.23,0.1887,0.1822,0.1684,0.2248,0.2059,1,2.3682,1.5858,1.5858,-2.3687,5.6107,-0.7172,2.3687,0.8673,2.3166
0,49,0.56,0.42,-129.90,0.27,0.1865,0.1835,0.1692,0.2252,0.2055,1,1.9542,1.5859,1.5859,-1.9548,3.8213,-0.8401,1.9548,1.0894,1.8962
0,50,0.56,0.42,-150.14,0.29,0.1854,0.1840,0.1697,0.2256,0.2054,1,2.6625,1.5859,1.5859,-2.6631,7.0921,-0.5672,2.6631,1.0029,2.6011
0,51,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,2,3.0216,1.5906,1.5906,-3.0216,9.1300,-0.3144,3.0216,1.0447,3.0232
0,52,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,4,3.0216,1.5906,1.5906,-3.0216,9.1300,-0.3144,3.0216,0.9861,3.0232
0,53,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,0,3.0216,1.5906,1.5906,-3.0216,9.1300,-0.3144,3.0216,1.0442,3.0232
0,54,0.00,0.42,0.00,0.70,0.1971,0.1922,0.1896,0.1932,0.1980,3,3.1061,1.5906,1.5906,-3.1061,9.6476,-0.2436,3.1061,0.9957,3.1076
0,55,0.00,0.42,0.00,0.66,0.1971,0.1922,0.1896,0.1932,0.1980,1,3.1810,1.5906,1.5906,-3.1810,10.1188,-0.1772,3.1810,0.9800,3.1825
0,56,0.00,0.42,0.00,0.63,0.1971,0.1922,0.1896,0.1932,0.1980,0,3.2360,1.5906,1.5906,-3.2360,10.4717,-0.1263,3.2360,0.9953,3.2374
0,57,0.00,0.42,0.00,0.59,0.1970,0.1922,0.1896,0.1931,0.1980,2,3.3205,1.5906,1.5906,-3.3205,11.0255,-0.0446,3.3205,1.0249,3.3218
