Episode,Reward,Timer,Input_PosX,Input_PosY,Input_Angle,Input_DistNorm,Output_Accelerate,Output_TurnLeft,Output_TurnRight,Target_Accelerate,Target_TurnLeft,Target_TurnRight,Loss
2,1.63,0.90,-0.1559,0.2276,31.8708,0.4788,86.3069,75.8695,-10.1214,87.0721,75.8695,-10.1214,0.195168
2,1.69,1.00,-0.0606,0.1929,35.3853,0.4366,87.7493,77.7408,-10.3641,88.5578,77.7408,-10.3641,0.217900
2,1.77,1.10,0.0187,0.1640,38.8658,0.4029,89.0796,79.9175,-18.1505,89.9619,79.9175,-18.1505,0.259454
2,1.84,1.20,0.1561,0.1140,46.4191,0.3490,90.8536,81.4112,-22.6374,91.7816,81.4112,-22.6374,0.287095
2,1.87,1.30,0.2935,0.0640,56.4766,0.3033,92.9689,82.1894,-24.8241,93.9072,82.1894,-24.8241,0.293436
2,1.85,1.40,0.4433,0.0094,70.8528,0.2676,93.7568,83.2450,-28.6513,94.6719,83.2450,-28.6513,0.279173
2,1.79,1.50,0.5807,-0.0406,86.6791,0.2532,95.1456,85.0489,-32.0467,95.9890,85.0489,-32.0467,0.237116
2,1.75,1.60,0.7181,-0.0906,103.0154,0.2595,97.3860,86.4037,-32.1298,98.1576,86.4037,-32.1298,0.198435
2,1.67,1.70,0.7975,-0.1195,111.7137,0.2721,98.1931,87.8195,-35.2007,98.8860,87.8195,-35.2007,0.160024
2,1.61,1.80,0.8928,-0.1541,120.9096,0.2947,99.3312,90.0421,-36.8941,99.9470,90.0421,-36.8941,0.126403
1,1.12,1.90,0.9722,-0.1830,127.4445,0.3184,100.3567,92.7649,-27.8452,98.0151,92.7649,-27.8452,1.827790
1,1.07,2.00,-0.6971,0.4245,0.0000,0.7392,97.7226,69.4516,98.4805,97.7226,69.4516,101.4439,2.927220
1,1.16,2.10,-0.6971,0.4245,20.0000,0.7392,102.4348,95.2324,-18.3162,102.4109,95.2324,-18.3162,0.000192
1,1.29,2.20,-0.6019,0.3899,21.4360,0.6918,104.6371,96.7013,-16.9021,104.2868,96.7013,-16.9021,0.040888
1,1.41,2.30,-0.4645,0.3399,23.8889,0.6243,104.5540,97.6893,-11.2766,104.9159,97.6893,-11.2766,0.043639
1,1.54,2.40,-0.3271,0.2899,26.9291,0.5582,105.4423,99.8980,-11.1364,105.9240,99.8980,-11.1364,0.077354
1,1.60,2.50,-0.1773,0.2353,31.1667,0.4885,106.1663,99.8981,-1.2536,106.7045,99.8981,-1.2536,0.096575
