Episode,Step,PosX,PosY,Angle,DistN,Action0P,Action1P,Action2P,Action,Reward,Entropy,OriginalEntropy,PolicyLoss,ValueLoss,TotalLoss,Advantage,ClippedRatio,Return
0,36,0.06,0.42,0.00,0.36,0.3150,0.3255,0.3295,0,3.2763,1.0950,1.0950,-3.2764,10.7348,-0.0779,3.2764,1.0332,3.2706
0,37,0.16,0.42,0.00,0.31,0.3149,0.3255,0.3295,2,3.3777,1.0950,1.0950,-3.3778,11.4094,0.0231,3.3778,0.9675,3.3718
0,38,0.24,0.42,0.00,0.27,0.3149,0.3256,0.3295,0,3.4598,1.0950,1.0950,-3.4599,11.9707,0.1094,3.4599,1.0465,3.4538
0,39,0.33,0.42,0.00,0.23,0.3148,0.3256,0.3295,1,3.5443,1.0950,1.0950,-3.5444,12.5624,0.2025,3.5444,0.9553,3.5381
0,40,0.40,0.42,0.00,0.19,0.3148,0.3257,0.3295,1,3.6192,1.0950,1.0950,-3.6193,13.0992,0.2886,3.6193,1.0346,3.6129
0,41,0.46,0.42,0.00,0.16,0.3147,0.3257,0.3295,1,3.6742,1.0950,1.0950,-3.6743,13.5003,0.3539,3.6743,1.0001,3.6678
0,42,0.53,0.42,0.00,0.13,0.3147,0.3258,0.3295,2,3.7442,1.0950,1.0950,-3.7443,14.0195,0.4397,3.7443,1.0001,3.7377
0,43,0.55,0.42,0.00,0.12,0.3147,0.3258,0.3295,1,3.7659,1.0950,1.0950,-3.7660,14.1828,0.4669,3.7660,1.0116,3.7594
0,44,0.56,0.42,0.00,0.11,0.3147,0.3258,0.3295,0,3.7819,1.0950,1.0950,-3.7820,14.3032,0.4871,3.7820,0.9886,3.7753
0,45,0.55,0.42,-49.19,0.16,0.3424,0.3287,0.2988,0,3.1000,1.0936,1.0936,-3.1006,9.6139,-0.2383,3.1006,1.0511,3.0369
0,46,0.52,0.42,-93.77,0.22,0.3432,0.3297,0.2971,2,2.4698,1.0934,1.0934,-2.4705,6.1033,-0.6614,2.4705,1.0024,2.4021
0,47,0.50,0.42,-124.91,0.26,0.3427,0.3307,0.2966,2,2.0258,1.0934,1.0934,-2.0265,4.1068,-0.8164,2.0265,0.8640,1.9587
0,48,0.48,0.42,-150.14,0.29,0.3423,0.3314,0.2963,2,1.6625,1.0934,1.0934,-1.6631,2.7660,-0.8552,1.6631,0.9990,1.5965
0,49,0.47,0.42,-164.27,0.31,0.3421,0.3317,0.2961,2,1.4568,1.0934,1.0934,-1.4574,2.1241,-0.8421,1.4574,0.9996,1.3914
0,50,0.46,0.42,-174.13,0.33,0.3420,0.3319,0.2961,1,1.3117,1.0934,1.0934,-1.3123,1.7222,-0.8175,1.3123,0.9998,1.2468
0,51,0.46,0.42,178.98,0.34,0.2896,0.3205,0.3600,2,2.2331,1.0914,1.0914,-2.2325,4.9839,-0.7591,2.2325,1.0824,2.2977
0,52,0.45,0.42,174.17,0.35,0.2895,0.3206,0.3599,0,2.2731,1.0914,1.0914,-2.2724,5.1639,-0.7451,2.2724,1.1231,2.3379
0,53,0.00,0.42,0.00,0.74,0.3242,0.3252,0.3207,2,2.5216,1.0952,1.0952,-2.5215,6.3580,-0.6360,2.5215,0.9007,2.5299
0,54,0.00,0.42,0.00,0.74,0.3242,0.3252,0.3207,2,2.5216,1.0952,1.0952,-2.5215,6.3580,-0.6360,2.5215,0.9892,2.5299
0,55,0.00,0.42,0.00,0.74,0.3242,0.3252,0.3207,1,2.5216,1.0952,1.0952,-2.5215,6.3580,-0.6360,2.5215,1.0000,2.5299
0,56,0.00,0.42,0.00,0.74,0.3242,0.3252,0.3207,2,2.5216,1.0952,1.0952,-2.5215,6.3580,-0.6360,2.5215,1.0140,2.5299
0,57,0.00,0.42,0.00,0.74,0.3242,0.3252,0.3207,0,2.5216,1.0952,1.0952,-2.5215,6.3580,-0.6360,2.5215,0.9862,2.5299
0,58,0.00,0.42,0.00,0.70,0.3242,0.3252,0.3206,2,2.6061,1.0952,1.0952,-2.6060,6.7912,-0.5905,2.6060,1.0110,2.6143
0,59,0.00,0.42,0.00,0.65,0.3243,0.3252,0.3205,0,2.7051,1.0952,1.0952,-2.7050,7.3170,-0.5318,2.7050,0.9887,2.7133
0,60,0.00,0.42,0.00,0.61,0.3243,0.3252,0.3205,1,2.7895,1.0952,1.0952,-2.7895,7.7811,-0.4770,2.7895,1.0117,2.7977
0,61,0.00,0.42,0.00,0.57,0.3243,0.3252,0.3204,2,2.8645,1.0952,1.0952,-2.8644,8.2048,-0.4249,2.8644,1.0029,2.8725
0,62,0.00,0.42,0.00,0.54,0.3244,0.3252,0.3204,1,2.9286,1.0952,1.0952,-2.9285,8.5761,-0.3776,2.9285,0.9851,2.9366
0,63,0.00,0.42,0.00,0.52,0.3244,0.3253,0.3204,1,2.9665,1.0952,1.0952,-2.9664,8.7997,-0.3484,2.9664,1.0152,2.9745
0,64,0.00,0.42,0.00,0.50,0.3244,0.3253,0.3203,0,2.9990,1.0952,1.0952,-2.9989,8.9933,-0.3228,2.9989,1.0000,3.0069
0,65,0.00,0.42,0.00,0.46,0.3244,0.3253,0.3203,0,3.0834,1.0952,1.0952,-3.0834,9.5071,-0.2531,3.0834,0.9975,3.0913
0,66,0.00,0.42,0.00,0.41,0.3245,0.3253,0.3202,1,3.1848,1.0952,1.0952,-3.1847,10.1426,-0.1639,3.1847,1.0001,3.1926
0,67,0.04,0.42,0.00,0.37,0.3245,0.3253,0.3202,1,3.2553,1.0952,1.0952,-3.2552,10.5962,-0.0982,3.2552,1.0025,3.2630
0,68,0.09,0.42,0.00,0.35,0.3246,0.3253,0.3201,1,3.3070,1.0952,1.0952,-3.3069,10.9354,-0.0482,3.3069,0.9999,3.3148
0,69,0.13,0.42,0.00,0.32,0.3247,0.3252,0.3201,0,3.3512,1.0952,1.0952,-3.3511,11.2298,-0.0041,3.3511,0.9999,3.3590
0,70,0.22,0.42,0.00,0.28,0.3248,0.3252,0.3200,1,3.4356,1.0952,1.0952,-3.4356,11.8031,0.0835,3.4356,0.9985,3.4435
